Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity,ChampionSteps
272,402.000000,285.938667,97,24.706667,401.000000
273,402.000000,291.136000,97,25.126667,401.000000
274,402.000000,281.417333,97,25.013333,401.000000
275,402.000000,294.341333,97,25.060000,401.000000
276,402.000000,292.865333,97,24.946667,401.000000
277,402.000000,305.888000,98,25.320000,401.000000
278,402.000000,292.364000,98,24.973333,401.000000
279,402.000000,302.145333,98,25.326667,401.000000
280,402.000000,291.268000,98,24.986667,401.000000
281,402.000000,301.454667,98,24.933333,401.000000
282,402.000000,295.638667,98,25.253333,401.000000
283,402.000000,297.517333,98,25.140000,401.000000
284,402.000000,282.858667,98,25.026667,401.000000
285,402.000000,303.281333,98,25.180000,401.000000
286,402.000000,299.024000,98,24.760000,401.000000
287,402.000000,295.764000,98,25.260000,401.000000
288,402.000000,289.169333,98,24.946667,401.000000
289,402.000000,272.058667,98,25.553333,401.000000
290,402.000000,296.056000,98,24.440000,401.000000
291,402.000000,283.461333,98,25.680000,401.000000
292,402.000000,287.417333,98,24.780000,401.000000
293,402.000000,292.122667,98,25.473333,401.000000
294,402.000000,287.804000,98,24.840000,401.000000
295,402.000000,293.002667,98,25.126667,401.000000
296,402.000000,299.674667,99,24.880000,401.000000
297,402.000000,301.506667,99,25.000000,401.000000
298,402.000000,293.697333,99,24.793333,401.000000
299,402.000000,293.398667,99,24.966667,401.000000
